type, name, bits

GPIOx_CFGLR, MODE0, 0-1
GPIOx_CFGLR, CNF0, 2-3
GPIOx_CFGLR, MODE1, 4-5
GPIOx_CFGLR, CNF1, 6-7
GPIOx_CFGLR, MODE2, 8-9
GPIOx_CFGLR, CNF2, 10-11
GPIOx_CFGLR, MODE3, 12-13
GPIOx_CFGLR, CNF3, 14-15
GPIOx_CFGLR, MODE4, 16-17
GPIOx_CFGLR, CNF4, 18-19
GPIOx_CFGLR, MODE5, 20-21
GPIOx_CFGLR, CNF5, 22-23
GPIOx_CFGLR, MODE6, 24-25
GPIOx_CFGLR, CNF6, 26-27
GPIOx_CFGLR, MODE7, 28-29
GPIOx_CFGLR, CNF7, 30-31

GPIOx_INDR, IDR0, 0
GPIOx_INDR, IDR1, 1
GPIOx_INDR, IDR2, 2
GPIOx_INDR, IDR3, 3
GPIOx_INDR, IDR4, 4
GPIOx_INDR, IDR5, 5
GPIOx_INDR, IDR6, 6
GPIOx_INDR, IDR7, 7

GPIOx_OUTDR, ODR0, 0
GPIOx_OUTDR, ODR1, 1
GPIOx_OUTDR, ODR2, 2
GPIOx_OUTDR, ODR3, 3
GPIOx_OUTDR, ODR4, 4
GPIOx_OUTDR, ODR5, 5
GPIOx_OUTDR, ODR6, 6
GPIOx_OUTDR, ODR7, 7

GPIOx_BSHR, BS0, 0
GPIOx_BSHR, BS1, 1
GPIOx_BSHR, BS2, 2
GPIOx_BSHR, BS3, 3
GPIOx_BSHR, BS4, 4
GPIOx_BSHR, BS5, 5
GPIOx_BSHR, BS6, 6
GPIOx_BSHR, BS7, 7
GPIOx_BSHR, BR0, 16
GPIOx_BSHR, BR1, 17
GPIOx_BSHR, BR2, 18
GPIOx_BSHR, BR3, 19
GPIOx_BSHR, BR4, 20
GPIOx_BSHR, BR5, 21
GPIOx_BSHR, BR6, 22
GPIOx_BSHR, BR7, 23

GPIOx_BCR, BR0, 0
GPIOx_BCR, BR1, 1
GPIOx_BCR, BR2, 2
GPIOx_BCR, BR3, 3
GPIOx_BCR, BR4, 4
GPIOx_BCR, BR5, 5
GPIOx_BCR, BR6, 6
GPIOx_BCR, BR7, 7

GPIOx_LCKR, LCK0, 0
GPIOx_LCKR, LCK1, 1
GPIOx_LCKR, LCK2, 2
GPIOx_LCKR, LCK3, 3
GPIOx_LCKR, LCK4, 4
GPIOx_LCKR, LCK5, 5
GPIOx_LCKR, LCK6, 6
GPIOx_LCKR, LCK7, 7
GPIOx_LCKR, LCKK, 8
