type, name, bits

PFIC_ISR1, INTENSTA2, 2
PFIC_ISR1, INTENSTA3, 3
PFIC_ISR1, INTENSTA12, 12
PFIC_ISR1, INTENSTA14, 14
PFIC_ISR1, INTENSTA16, 16
PFIC_ISR1, INTENSTA17, 17
PFIC_ISR1, INTENSTA18, 18
PFIC_ISR1, INTENSTA19, 19
PFIC_ISR1, INTENSTA20, 20
PFIC_ISR1, INTENSTA21, 21
PFIC_ISR1, INTENSTA22, 22
PFIC_ISR1, INTENSTA23, 23
PFIC_ISR1, INTENSTA24, 24
PFIC_ISR1, INTENSTA25, 25
PFIC_ISR1, INTENSTA26, 26
PFIC_ISR1, INTENSTA27, 27
PFIC_ISR1, INTENSTA28, 28
PFIC_ISR1, INTENSTA29, 29
PFIC_ISR1, INTENSTA30, 30
PFIC_ISR1, INTENSTA31, 31

PFIC_ISR2, INTENSTA32, 0
PFIC_ISR2, INTENSTA33, 1
PFIC_ISR2, INTENSTA34, 2
PFIC_ISR2, INTENSTA35, 3
PFIC_ISR2, INTENSTA36, 4
PFIC_ISR2, INTENSTA37, 5
PFIC_ISR2, INTENSTA38, 6

PFIC_IPR1, PENDSTA2, 2
PFIC_IPR1, PENDSTA3, 3
PFIC_IPR1, PENDSTA12, 12
PFIC_IPR1, PENDSTA14, 14
PFIC_IPR1, PENDSTA16, 16
PFIC_IPR1, PENDSTA17, 17
PFIC_IPR1, PENDSTA18, 18
PFIC_IPR1, PENDSTA19, 19
PFIC_IPR1, PENDSTA20, 20
PFIC_IPR1, PENDSTA21, 21
PFIC_IPR1, PENDSTA22, 22
PFIC_IPR1, PENDSTA23, 23
PFIC_IPR1, PENDSTA24, 24
PFIC_IPR1, PENDSTA25, 25
PFIC_IPR1, PENDSTA26, 26
PFIC_IPR1, PENDSTA27, 27
PFIC_IPR1, PENDSTA28, 28
PFIC_IPR1, PENDSTA29, 29
PFIC_IPR1, PENDSTA30, 30
PFIC_IPR1, PENDSTA31, 31

PFIC_IPR2, PENDSTA32, 0
PFIC_IPR2, PENDSTA33, 1
PFIC_IPR2, PENDSTA34, 2
PFIC_IPR2, PENDSTA35, 3
PFIC_IPR2, PENDSTA36, 4
PFIC_IPR2, PENDSTA37, 5
PFIC_IPR2, PENDSTA38, 6

PFIC_ITHRESDR, THRESHOLD, 0-7

PFIC_CFGR, RESETSYS, 7
PFIC_CFGR, KEYCODE, 16-31

PFIC_GISR, NESTSTA, 0-7
PFIC_GISR, GACTSTA, 8
PFIC_GISR, GPENDSTA, 9

PFIC_VTFIDR, VTFID0, 0-7
PFIC_VTFIDR, VTFID1, 8-15

PFIC_VTFADDRR0, VTF0EN, 0
PFIC_VTFADDRR0, ADDR0, 1-31

PFIC_VTFADDRR1, VTF1EN, 0
PFIC_VTFADDRR1, ADDR1, 1-31

PFIC_IENR1, INTEN12, 12
PFIC_IENR1, INTEN14, 14
PFIC_IENR1, INTEN16, 16
PFIC_IENR1, INTEN17, 17
PFIC_IENR1, INTEN18, 18
PFIC_IENR1, INTEN19, 19
PFIC_IENR1, INTEN20, 20
PFIC_IENR1, INTEN21, 21
PFIC_IENR1, INTEN22, 22
PFIC_IENR1, INTEN23, 23
PFIC_IENR1, INTEN24, 24
PFIC_IENR1, INTEN25, 25
PFIC_IENR1, INTEN26, 26
PFIC_IENR1, INTEN27, 27
PFIC_IENR1, INTEN28, 28
PFIC_IENR1, INTEN29, 29
PFIC_IENR1, INTEN30, 30
PFIC_IENR1, INTEN31, 31

PFIC_IENR2, INTEN32, 0
PFIC_IENR2, INTEN33, 1
PFIC_IENR2, INTEN34, 2
PFIC_IENR2, INTEN35, 3
PFIC_IENR2, INTEN36, 4
PFIC_IENR2, INTEN37, 5
PFIC_IENR2, INTEN38, 6

PFIC_IRER1, INTRSET12, 12
PFIC_IRER1, INTRSET14, 14
PFIC_IRER1, INTRSET16, 16
PFIC_IRER1, INTRSET17, 17
PFIC_IRER1, INTRSET18, 18
PFIC_IRER1, INTRSET19, 19
