name, address, size, type

ESIG_FLACAP, 0x1FFFF7E0, 16, ESIG_FLACAP
ESIG_UNIID1, 0x1FFFF7E8, 32, ESIG_UNIID1
ESIG_UNIID2, 0x1FFFF7EC, 32, ESIG_UNIID2
ESIG_UNIID3, 0x1FFFF7F0, 32, ESIG_UNIID3

TIM2_CTLR1, 0x40000000, 16, TIM2_CTLR1
TIM2_CTLR2, 0x40000004, 16, TIM2_CTLR2
TIM2_SMCFGR, 0x40000008, 16, TIM2_SMCFGR
TIM2_DMAINTENR, 0x4000000C, 16, TIM2_DMAINTENR
TIM2_INTFR, 0x40000010, 16, TIM2_INTFR
TIM2_SWEVGR, 0x40000014, 16, TIM2_SWEVGR
TIM2_CHCTLR1, 0x40000018, 16, TIM2_CHCTLR1
TIM2_CHCTLR2, 0x4000001C, 16, TIM2_CHCTLR2
TIM2_CCER, 0x40000020, 16, TIM2_CCER
TIM2_CNT, 0x40000024, 16, TIM2_CNT
TIM2_PSC, 0x40000028, 16, TIM2_PSC
TIM2_ATRLR, 0x4000002C, 16, TIM2_ATRLR
TIM2_CH1CVR, 0x40000034, 16, TIM2_CH1CVR
TIM2_CH2CVR, 0x40000038, 16, TIM2_CH2CVR
TIM2_CH3CVR, 0x4000003C, 16, TIM2_CH3CVR
TIM2_CH4CVR, 0x40000040, 16, TIM2_CH4CVR
TIM2_DMACFGR, 0x40000048, 16, TIM2_DMACFGR
TIM2_DMAADR, 0x4000004C, 16, TIM2_DMAADR

WWDG_CTLR, 0x40002C00, 16, WWDG_CTLR
WWDG_CFGR, 0x40002C04, 16, WWDG_CFGR
WWDG_STATR, 0x40002C08, 16, WWDG_STATR

IWDG_CTLR, 0x40003000, 16, IWDG_CTLR
IWDG_PSCR, 0x40003004, 16, IWDG_PSCR
IWDG_RLDR, 0x40003008, 16, IWDG_RLDR
IWDG_STATR, 0x4000300C, 16, IWDG_STATR

I2C_CTLR1, 0x40005400, 16, I2C_CTLR1
I2C_CTLR2, 0x40005404, 16, I2C_CTLR2
I2C_OADDR1, 0x40005408, 16, I2C_OADDR1
I2C_OADDR2, 0x4000540C, 16, I2C_OADDR2
