type, name, bits

SPI_CTLR1, CPHA, 0
SPI_CTLR1, CPOL, 1
SPI_CTLR1, MSTR, 2
SPI_CTLR1, BR, 3-5
SPI_CTLR1, SPE, 6
SPI_CTLR1, Reserved, 7
SPI_CTLR1, SSI, 8
SPI_CTLR1, SSM, 9
SPI_CTLR1, RXONLY, 10
SPI_CTLR1, DFF, 11
SPI_CTLR1, CRCNEXT, 12
SPI_CTLR1, CRCEN, 13
SPI_CTLR1, BIDIOE, 14
SPI_CTLR1, BIDIMODE, 15

SPI_CTRL2, RXDMAEN, 0
SPI_CTRL2, TXDMAEN, 1
SPI_CTRL2, SSOE, 2
SPI_CTRL2, ERRIE, 5
SPI_CTRL2, RXNEIE, 6
SPI_CTRL2, TXEIE, 7

SPI_STATR, RXNE, 0
SPI_STATR, TXE, 1
SPI_STATR, CHSIDE, 2
SPI_STATR, UDR, 3
SPI_STATR, CRCERR, 4
SPI_STATR, MODF, 5
SPI_STATR, OVR, 6
SPI_STATR, BSY, 7

SPI_DATAR, DR, 0-15

SPI_CRCR, CRCPOLY, 0-7

SPI_RCRCR, RXCRC, 0-15

SPI_TCTCR, TXCRC, 0-15

SPI_HSCR, HSRXEN, 0

