type, name, bits

USART_STATR, PE, 0
USART_STATR, FE, 1
USART_STATR, NE, 2
USART_STATR, ORE, 3
USART_STATR, IDLE, 4
USART_STATR, RXNE, 5
USART_STATR, TC, 6
USART_STATR, TXE, 7
USART_STATR, LBD, 8
USART_STATR, CTS, 9

USART_DATAR, DR, 0-8

USART_BRR, DIV_Fraction, 0-3
USART_BRR, DIV_Mantissa, 4-15

USART_CTLR1, SBK, 0
USART_CTLR1, RWU, 1
USART_CTLR1, RE, 2
USART_CTLR1, TE, 3
USART_CTLR1, IDLEIE, 4
USART_CTLR1, RXNEIE, 5
USART_CTLR1, TCIE, 6
USART_CTLR1, TXEIE, 7
USART_CTLR1, PEIE, 8
USART_CTLR1, PS, 9
USART_CTLR1, PCE, 10
USART_CTLR1, WAKE, 11
USART_CTLR1, M, 12
USART_CTLR1, UE, 13

USART_CTLR2, ADD, 0-3
USART_CTLR2, LBDL, 5
USART_CTLR2, LBDIE, 6
USART_CTLR2, LBCL, 8
USART_CTLR2, CPHA, 9
USART_CTLR2, CPOL, 10
USART_CTLR2, CLKEN, 11
USART_CTLR2, STOP, 12-13
USART_CTLR2, LINEN, 14

USART_CTLR3, EIE, 0
USART_CTLR3, IREN, 1
USART_CTLR3, IRLP, 2
USART_CTLR3, HDSEL, 3
USART_CTLR3, NACK, 4
USART_CTLR3, SCEN, 5
USART_CTLR3, DMAR, 6
USART_CTLR3, DMAT, 7
USART_CTLR3, RTSE, 8
USART_CTLR3, CTSE, 9
USART_CTLR3, CTSIE, 10

USART_GPR, PSC, 0-7
USART_GPR, GT, 8-15

